"id";"invoice_no";"invoice_date";"dr_account_id";"dr_amount";"cr_account_id";"cr_amount";"quantity";"status";"item_description";"year_month"
2315;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2316;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2317;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2318;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2319;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2320;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2321;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2322;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2323;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2324;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2325;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2326;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2327;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2328;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2329;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2330;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2331;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2332;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2333;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2334;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2335;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2336;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2337;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2338;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2339;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2340;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2341;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2342;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2343;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2344;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2345;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2346;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2347;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2348;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2349;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2350;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2351;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2352;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2353;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2354;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2355;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2356;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2357;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2358;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2359;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2360;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2361;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2362;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2363;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2364;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2365;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2366;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2367;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2368;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2369;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2370;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2371;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2372;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2373;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2374;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2375;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
2376;"11201";"2023-01-31";"QK19";35;"";0;1;"2";"桂格養氣人蔘盒裝19瓶";"2023-04"
